INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000502,20141113,2014-11-13,,,0.000530,2039.33,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19690319,1969-03-19,,,0.007310,99.21,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20151119,2015-11-19,,,-0.001123,2081.24,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19890623,1989-06-23,,,0.017622,328.00,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20161125,2016-11-25,,,0.003914,2213.35,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19760423,1976-04-23,,,-0.006700,102.29,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20171201,2017-12-01,,,-0.002025,2642.22,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19900628,1990-06-28,,,0.007011,357.63,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20181210,2018-12-10,,,0.001762,2637.72,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19660120,1966-01-20,,,-0.003522,93.36,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20191216,2019-12-16,,,0.007148,3191.45,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19910703,1991-07-03,,,-0.010968,373.33,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20201221,2020-12-21,,,-0.003906,3694.92,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19770428,1977-04-28,,,0.002450,98.20,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20211228,2021-12-28,,,-0.001010,4786.35,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19920708,1992-07-08,,,0.002737,410.28,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20230104,2023-01-04,,,0.007539,3852.97,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19700326,1970-03-26,,,0.001671,89.92,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20240111,2024-01-11,,,-0.000671,4780.24,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19930713,1993-07-13,,,-0.001982,448.09,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20250121,2025-01-21,,,0.008768,6049.24,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19780504,1978-05-04,,,-0.003428,95.93,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19940414,1994-04-14,,,0.000269,446.38,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19780804,1978-08-04,,,0.003961,103.92,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19941017,1994-10-17,,,-0.000298,468.96,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19950420,1995-04-20,,,0.000733,505.29,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19790206,1979-02-06,,,-0.000408,98.05,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19951020,1995-10-20,,,-0.005401,587.46,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19701228,1970-12-28,,,0.005297,91.09,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19960424,1996-04-24,,,-0.002164,650.17,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19790809,1979-08-09,,,-0.004624,105.49,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19961024,1996-10-24,,,-0.007041,702.29,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19661024,1966-10-24,,,0.002941,78.42,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19970429,1997-04-29,,,0.027285,794.05,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19800211,1980-02-11,,,-0.007037,117.12,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19971029,1997-10-29,,,-0.002918,919.16,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19710630,1971-06-30,,,0.008905,99.70,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19980505,1998-05-05,,,-0.005855,1115.50,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19800813,1980-08-13,,,-0.004120,123.28,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19981104,1998-11-04,,,0.007049,1118.67,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19641013,1964-10-13,,,-0.003285,84.96,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19990511,1999-05-11,,,0.011423,1355.61,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19810217,1981-02-17,,,0.006536,127.81,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19991110,1999-11-10,,,0.005991,1373.46,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19711231,1971-12-31,,,0.003046,102.09,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20000515,2000-05-15,,,0.022098,1452.36,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19810819,1981-08-19,,,0.002921,130.49,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20001114,2000-11-14,,,0.023452,1382.95,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,19670428,1967-04-28,,,0.002132,94.01,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
1000502,20010521,2001-05-21,,,0.016154,1312.83,,,,,,,,,1100502,L,S&P 500 Composite,1962-07-02,2025-12-31,10.00,1923-01-01,BTH,X,N/A,1
